"Tidsstempel","Participant ID","1. I think that I would like to use this system frequently.","2. I found the system unnecessarily complex.","3. I thought the system was easy to use.","4. I think that I would need the support of a technical person to be able to use this system.","5. I found the various functions in this system were well integrated.","6. I thought there was too much inconsistency in this system.","7. I would imagine that most people would learn to use this system very quickly.","8. I found the system very cumbersome to use.","9. I felt very confident using the system.","10. I needed to learn a lot of things before I could get going with this system."
"2023/05/11 11:13:37 AM EEST","P1","2","2","3","1","2","2","5","3","3","2"
"2023/05/11 11:56:54 AM EEST","P2","4","1","4","3","4","2","3","2","3","2"
"2023/05/11 12:28:03 PM EEST","P3","4","3","2","4","4","1","3","3","2","3"
"2023/05/11 2:06:46 PM EEST","P4","4","2","5","1","4","2","5","1","4","2"
"2023/05/11 2:25:21 PM EEST","P5","4","1","5","1","4","1","5","1","5","1"
"2023/05/11 2:45:33 PM EEST","P6","2","2","4","1","4","3","4","1","4","1"
"2023/05/11 3:10:23 PM EEST","P7","5","1","5","4","5","5","5","1","3","1"
"2023/05/11 3:34:08 PM EEST","P8","3","2","4","1","4","1","5","2","5","1"
"2023/05/11 3:54:44 PM EEST","P9","3","2","3","3","4","3","4","4","4","3"
"2023/05/11 4:24:14 PM EEST","P10","3","2","5","1","3","2","5","3","4","2"